M00746	V$ELF1_Q6	13709	Elf1
M00747	V$IRF1_Q6	16362	Irf1
M00750	V$HMGIY_Q6	15361	Hmga1
M00750	V$HMGIY_Q6	15364	Hmga2
M00761	V$P53_DECAMER_Q2	22059	Trp53
M00761	V$P53_DECAMER_Q2	22061	Trp63
M00762	V$DR1_Q3	13865	Nr2f1
M00762	V$DR1_Q3	15378	Hnf4a
M00762	V$DR1_Q3	19013	Ppara
M00762	V$DR1_Q3	19016	Pparg
M00762	V$DR1_Q3	20181	Rxra
M00763	V$PPAR_DR1_Q2	19013	Ppara
M00763	V$PPAR_DR1_Q2	19016	Pparg
M00763	V$PPAR_DR1_Q2	20181	Rxra
M00764	V$HNF4_DR1_Q3	15378	Hnf4a
M00765	V$COUP_DR1_Q6	13865	Nr2f1
M00766	V$LXR_DR4_Q3	20181	Rxra
M00766	V$LXR_DR4_Q3	22259	Nr1h3
M00767	V$FXR_IR1_Q6	20181	Rxra
M00767	V$FXR_IR1_Q6	20186	Nr1h4
M00769	V$AML_Q6	12393	Runx2
M00769	V$AML_Q6	12394	Runx1
M00769	V$AML_Q6	12400	Cbfb
M00770	V$CEBP_Q3	12606	Cebpa
M00770	V$CEBP_Q3	12608	Cebpb
M00770	V$CEBP_Q3	12609	Cebpd
M00770	V$CEBP_Q3	12611	Cebpg
M00771	V$ETS_Q4	13709	Elf1
M00771	V$ETS_Q4	13712	Elk1
M00771	V$ETS_Q4	14247	Fli1
M00771	V$ETS_Q4	23871	Ets1
M00771	V$ETS_Q4	23872	Ets2
M00772	V$IRF_Q6	15900	Irf8
M00772	V$IRF_Q6	16362	Irf1
M00772	V$IRF_Q6	16363	Irf2
M00772	V$IRF_Q6	16364	Irf4
M00772	V$IRF_Q6	27056	Irf5
M00772	V$IRF_Q6	54123	Irf7
M00772	V$IRF_Q6	54131	Irf3
M00772	V$IRF_Q6	54139	Irf6
M00773	V$MYB_Q3	17863	Myb
M00774	V$NFKB_Q6_01	18033	Nfkb1
M00774	V$NFKB_Q6_01	19696	Rel
M00774	V$NFKB_Q6_01	19697	Rela
M00774	V$NFKB_Q6_01	19698	Relb
M00775	V$NFY_Q6_01	18044	Nfya
M00775	V$NFY_Q6_01	18045	Nfyb
M00775	V$NFY_Q6_01	18046	Nfyc
M00776	V$SREBP_Q3	20787	Srebf1
M00777	V$STAT_Q6	20846	Stat1
M00777	V$STAT_Q6	20848	Stat3
M00777	V$STAT_Q6	20849	Stat4
M00777	V$STAT_Q6	20850	Stat5a
M00777	V$STAT_Q6	20851	Stat5b
M00777	V$STAT_Q6	20852	Stat6
M00778	V$AHR_Q5	11622	Ahr
M00789	V$GATA_Q6	14460	Gata1
M00789	V$GATA_Q6	14461	Gata2
M00789	V$GATA_Q6	14462	Gata3
M00789	V$GATA_Q6	14463	Gata4
M00789	V$GATA_Q6	14464	Gata5
M00789	V$GATA_Q6	14465	Gata6
M00790	V$HNF1_Q6	21405	Hnf1a
M00790	V$HNF1_Q6	21410	Hnf1b
M00791	V$HNF3_Q6	15375	Foxa1
M00791	V$HNF3_Q6	15376	Foxa2
M00791	V$HNF3_Q6	15377	Foxa3
M00792	V$SMAD_Q6	17125	Smad1
M00792	V$SMAD_Q6	17126	Smad2
M00792	V$SMAD_Q6	17127	Smad3
M00792	V$SMAD_Q6	17128	Smad4
M00793	V$YY1_Q6	22632	Yy1
M00794	V$TTF1_Q6	21869	Nkx2-1
M00795	V$OCT_Q6	18985	Pou2af1
M00795	V$OCT_Q6	18986	Pou2f1
M00795	V$OCT_Q6	18987	Pou2f2
M00795	V$OCT_Q6	18988	Pou2f3
M00795	V$OCT_Q6	18991	Pou3f1
M00795	V$OCT_Q6	18992	Pou3f2
M00795	V$OCT_Q6	18993	Pou3f3
M00795	V$OCT_Q6	18996	Pou4f1
M00795	V$OCT_Q6	18999	Pou5f1
M00796	V$USF_Q6_01	22278	Usf1
M00796	V$USF_Q6_01	22282	Usf2
M00797	V$HIF1_Q3	11863	Arnt
M00797	V$HIF1_Q3	15251	Hif1a
M00799	V$MYC_Q2	17187	Max
M00799	V$MYC_Q2	17869	Myc
M00800	V$AP2_Q3	21418	Tcfap2a
M00800	V$AP2_Q3	21419	Tcfap2b
M00800	V$AP2_Q3	21420	Tcfap2c
M00801	V$CREB_Q3	11908	Atf1
M00801	V$CREB_Q3	11909	Atf2
M00801	V$CREB_Q3	12912	Creb1
M00801	V$CREB_Q3	12916	Crem
M00802	V$PIT1_Q6	18736	Pou1f1
M00803	V$E2F_Q2	104394	E2f4
M00803	V$E2F_Q2	13555	E2f1
M00803	V$E2F_Q2	13557	E2f3
M00803	V$E2F_Q2	13559	E2f5
M00803	V$E2F_Q2	242705	E2f2
M00803	V$E2F_Q2	50496	E2f6
M00803	V$E2F_Q2	52679	E2f7
M00804	V$E2A_Q2	17927	Myod1
M00804	V$E2A_Q2	17928	Myog
M00804	V$E2A_Q2	21423	Tcfe2a
M00805	V$LEF1_Q2	16842	Lef1
M00805	V$LEF1_Q2	21414	Tcf7
M00805	V$LEF1_Q2	21415	Tcf3
M00807	V$EGR_Q6	13653	Egr1
M00808	V$PAX_Q6	18503	Pax1
M00808	V$PAX_Q6	18504	Pax2
M00808	V$PAX_Q6	18505	Pax3
M00808	V$PAX_Q6	18506	Pax4
M00808	V$PAX_Q6	18507	Pax5
M00808	V$PAX_Q6	18508	Pax6
M00808	V$PAX_Q6	18510	Pax8
M00809	V$FOX_Q2	14106	Foxh1
M00809	V$FOX_Q2	14234	Foxc2
M00809	V$FOX_Q2	14238	Foxf2
M00809	V$FOX_Q2	15221	Foxd3
M00809	V$FOX_Q2	15223	Foxj1
M00809	V$FOX_Q2	15227	Foxf1a
M00810	V$SRF_Q4	20807	Srf
M00821	V$NRF2_Q4	17135	Mafk
M00821	V$NRF2_Q4	18024	Nfe2l2
M00912	V$CEBP_Q2_01	12606	Cebpa
M00912	V$CEBP_Q2_01	12608	Cebpb
M00912	V$CEBP_Q2_01	12609	Cebpd
M00912	V$CEBP_Q2_01	12611	Cebpg
M00913	V$MYB_Q5_01	17863	Myb
M00913	V$MYB_Q5_01	17865	Mybl2
M00915	V$AP2_Q6_01	21418	Tcfap2a
M00915	V$AP2_Q6_01	21419	Tcfap2b
M00915	V$AP2_Q6_01	21420	Tcfap2c
M00916	V$CREB_Q2_01	12912	Creb1
M00916	V$CREB_Q2_01	12916	Crem
M00917	V$CREB_Q4_01	12912	Creb1
M00917	V$CREB_Q4_01	12916	Crem
M00918	V$E2F_Q3_01	104394	E2f4
M00918	V$E2F_Q3_01	13555	E2f1
M00918	V$E2F_Q3_01	13557	E2f3
M00918	V$E2F_Q3_01	13559	E2f5
